operational_date_0700,evidence_class,status
2026-05-23,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-24,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-27,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-05-29,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-04,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-06,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-09,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-06-10,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-12,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-13,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-16,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-17,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-18,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-20,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-22,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-23,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-24,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-28,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-06-30,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-01,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-02,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-07-04,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-07-08,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-09,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-10,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-16,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-17,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-20,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-22,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-24,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-25,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-26,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-30,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-07-31,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-01,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-02,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-03,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-05,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-09,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-11,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-12,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-13,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-15,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-17,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-19,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-21,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-08-23,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-24,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-27,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-28,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-29,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-08-31,INDEPENDENT_OMITTED_EVIDENCE,WORKING_INCLUDE
2026-09-02,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
2026-09-04,UNAMBIGUOUS_SELF_CAPTURE,WORKING_INCLUDE
